university;logo;;;
California Institute of Technology;https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Seal_of_the_California_Institute_of_Technology.svg/300px-Seal_of_the_California_Institute_of_Technology.svg.png;;;
Tsinghua University;https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Tsinghua_University_Logo.svg/360px-Tsinghua_University_Logo.svg.png;;;
Stanford University;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Seal_of_Leland_Stanford_Junior_University.svg/500px-Seal_of_Leland_Stanford_Junior_University.svg.png;;;
National University of Singapore;https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/NUS_coat_of_arms.svg/260px-NUS_coat_of_arms.svg.png;;;
University of California, Berkeley;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Seal_of_University_of_California%2C_Berkeley.svg/500px-Seal_of_University_of_California%2C_Berkeley.svg.png;;;
Carnegie Mellon University;https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Carnegie_Mellon_University_seal.svg/300px-Carnegie_Mellon_University_seal.svg.png;;;
Shanghai Jiao Tong University;https://upload.wikimedia.org/wikipedia/en/thumb/d/da/Sjtu-logo-standard-red.png/300px-Sjtu-logo-standard-red.png;;;
Zhejiang University;https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Zhejiang_University_Logo.svg/360px-Zhejiang_University_Logo.svg.png;;;
National Taiwan University;https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/National_Taiwan_University_seal.svg/300px-National_Taiwan_University_seal.svg.png;;;
California, Berkeley;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Seal_of_University_of_California%2C_Berkeley.svg/500px-Seal_of_University_of_California%2C_Berkeley.svg.png;;;
Imperial College London;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Shield_of_Imperial_College_London.svg/330px-Shield_of_Imperial_College_London.svg.png;;;
University of Chinese Academy of Sciences;https://upload.wikimedia.org/wikipedia/en/thumb/6/64/University_of_the_Chinese_Academy_of_Sciences_logo.svg/500px-University_of_the_Chinese_Academy_of_Sciences_logo.svg.png;;;
Peking University;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Peking_University_seal.svg/500px-Peking_University_seal.svg.png;;;
The Chinese University of Hong Kong;https://upload.wikimedia.org/wikipedia/en/0/09/CUHK_Coat_of_Arms.png;;;
University of Science and Technology of China;https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Logo_of_University_of_Science_and_Technology_of_China.svg/300px-Logo_of_University_of_Science_and_Technology_of_China.svg.png;;;
Fudan University;https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Fudan_University_Logo.svg/500px-Fudan_University_Logo.svg.png;;;
Nanyang Technological University;https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Nanyang_Technological_University_coat_of_arms_vector.svg/280px-Nanyang_Technological_University_coat_of_arms_vector.svg.png;;;
Huazhong University of Science and Technology;https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Hustseals.png/360px-Hustseals.png;;;
Beijing University of Posts and Telecommunications;https://upload.wikimedia.org/wikipedia/en/a/af/BUPT_LOGO.png;;;
Georgia Institute of Technology;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Georgia_Tech_seal.svg/500px-Georgia_Tech_seal.svg.png;;;
University of Oxford;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Arms_of_University_of_Oxford.svg/500px-Arms_of_University_of_Oxford.svg.png;;;
